Gender,age,sibsp,parch,fare,embarked,class,who,alone,survived
female,24,0,0,7.7958,S,Third,mannn,TRUE,0
female,17,0,0,8.6625,S,Third,man,TRUE,0
male,21,0,0,7.75,Q,Third,woman,TRUE,0
male,35,0,0,7.6292,Q,Third,woman,TRUE,0
male,37,0,0,9.5875,S,Third,woman,TRUE,0
male,16,0,0,86.5,S,First,woman,TRUE,1
female,,1,0,108.9,C,First,mannn,FALSE,0
male,33,0,2,,S,Second,woman,FALSE,0
female,40,0,0,26.55,S,First,man,TRUE,1
female,28,0,0,22.525,S,Third,man,TRUE,0
female,26,0,0,56.4958,S,Third,man,TRUE,1
female,29,0,0,7.75,Q,Third,man,TRUE,0
female,30,0,0,,S,Third,man,TRUE,0
,36,0,0,26.2875,S,,man,TRUE,1
male,54,1,0,59.4,C,First,woman,FALSE,0
female,24,0,0,7.4958,S,Third,man,TRUE,0
female,47,0,0,,S,First,man,TRUE,0
male,34,0,0,10.5,S,Second,woman,TRUE,1
female,55,0,0,24.15,Q,Third,man,TRUE,0
male,36,1,0,26,S,Second,woman,FALSE,1
male,36,1,0,26,S,Second,woman,FALSE,1
female,,0,0,7.8958,S,Third,man,TRUE,0
male,30,0,0,93.5,S,First,woman,TRUE,1
,22,0,0,7.8958,S,Third,man,TRUE,0
female,40,0,0,7.225,C,Third,man,TRUE,0
male,44,0,1,57.9792,C,First,woman,FALSE,1
female,28,0,0,7.2292,C,Third,man,TRUE,0
female,41,0,0,7.75,Q,Third,man,TRUE,0
female,41,0,0,7.75,Q,Third,man,TRUE,0
female,41,0,0,7.75,Q,Third,man,TRUE,0
male,50,0,0,10.5,S,Second,woman,TRUE,1
female,45,0,0,221.7792,S,First,man,TRUE,0
female,48,0,0,7.925,S,Third,man,TRUE,0
female,23,2,1,11.5,S,Second,man,FALSE,0
,2,1,1,26,S,Second,child,FALSE,1
female,10,0,0,7.2292,C,Third,man,TRUE,0
female,17,1,1,7.2292,C,Third,man,FALSE,0
male,20,0,2,22.3583,C,,woman,FALSE,1
male,30,0,0,8.6625,S,Third,woman,TRUE,0
male,,0,2,26.25,S,Second,child,FALSE,1
female,45,0,0,26.55,S,First,man,TRUE,0
male,30,0,0,106.425,C,First,woman,TRUE,1
female,32,0,0,14.5,S,Third,man,TRUE,0
male,22,0,2,49.5,C,First,woman,FALSE,1
male,36,0,2,71,S,First,woman,FALSE,1
,9,4,2,31.275,S,Third,child,FALSE,0
male,11,4,2,31.275,S,Third,child,FALSE,0
,32,1,0,26,S,Second,man,FALSE,1
female,50,1,0,106.425,C,First,man,FALSE,0
female,64,0,0,26,S,First,man,TRUE,0
male,19,1,0,26,S,Second,woman,FALSE,1
female,20,0,0,13.8625,C,Second,man,TRUE,1
female,33,1,1,20.525,S,Third,man,FALSE,0
female,8,1,1,36.75,S,Second,child,FALSE,1
female,17,0,2,110.8833,C,First,man,FALSE,1
female,27,0,0,26,S,Second,man,TRUE,0
female,25,0,0,7.8292,Q,Third,man,TRUE,0
female,22,0,0,7.225,C,Third,man,TRUE,1
male,22,0,0,7.775,S,Third,woman,TRUE,1
female,62,0,0,26.55,S,First,man,TRUE,0
male,,1,0,39.6,C,First,woman,FALSE,1
female,24,0,0,227.525,C,First,man,TRUE,0
male,39,1,1,79.65,S,First,woman,FALSE,1
male,36,1,0,17.4,S,Third,woman,FALSE,1
female,34,0,0,7.75,Q,Third,man,TRUE,0
female,40,0,0,7.8958,S,Third,man,TRUE,0
female,28,0,0,13.5,S,,man,TRUE,0
female,30,0,0,8.05,S,Third,man,TRUE,0
male,40,0,0,8.05,S,Third,woman,TRUE,0
female,24,2,0,24.15x,S,Third,man,FALSE,0
female,19,0,0,7.8958,S,Third,man,TRUE,0
male,29,0,4,21.075,S,Third,woman,FALSE,0
female,,0,0,7.2292,C,Third,man,TRUE,0
female,32,0,0,7.8542,S,Third,man,TRUE,1
female,62,0,0,10.5,S,Second,man,TRUE,1
male,53,2,0,51.4792,S,First,woman,FALSE,1
female,36,0,0,26.3875,S,First,man,TRUE,1
male,,0,0,7.75y,Q,Third,woman,TRUE,1
female,16,0,0,8.05,S,Third,man,TRUE,0
female,19,0,0,14.5,S,Third,man,TRUE,0
male,34,0,0,13,S,Second,woman,TRUE,1
male,39,1,0,55.9,S,First,woman,FALSE,1
male,,1,0,14.4583,C,Third,woman,FALSE,0
female,32,0,0,7.925,S,Third,man,TRUE,0
male,25,1,1,30,S,Second,woman,FALSE,0
male,139,1,1,110.8833,C,First,woman,FALSE,1
female,54,0,0,26,S,Second,man,TRUE,0
female,36,0,0,40.125,C,First,man,TRUE,0
female,,0,0,8.7125,C,Third,man,TRUE,0
male,18,0,2,79.65,S,First,woman,FALSE,1
female,47,0,0,15,S,Second,man,TRUE,0
female,60,1,1,79.2,C,First,man,FALSE,1
female,22,0,0,8.05,S,Third,man,TRUE,0
female,,0,0,8.05,S,Third,man,TRUE,0
female,35,0,0,7.125,S,Third,man,TRUE,0
male,152,1,0,78.2667,C,First,woman,FALSE,1
female,47,0,0,7.25,S,Third,man,TRUE,0
male,,0,2,7.75,Q,Third,woman,FALSE,0
female,37,1,0,26,S,Second,man,FALSE,0
female,36,1,1,24.15,S,Third,man,FALSE,0
male,,0,0,33,S,Second,woman,TRUE,1
female,149,0,0,0,S,,man,TRUE,0
female,,0,0,7.225,C,Third,man,TRUE,0
,,,,,,,,,0
,,,,,,,,,0
